name,드라마,액션,코미디,스릴러,범죄,모험,로맨스,애니메이션,미스터리,SF,판타지
희희,93,92.0,88.0,82.0,88.0,88.0,74.0,81.0,NaN,76.0,78.0
김양우,93,92.0,90.0,86.0,85.0,84.0,83.0,80.0,75.0,75.0,NaN
연서,94,89.0,90.0,NaN,82.0,82.0,89.0,80.0,NaN,70.0,80.0
연기는 히스레저처럼,94,92.0,90.0,79.0,84.0,83.0,85.0,88.0,NaN,NaN,81.0
julie,94,89.0,92.0,83.0,78.0,85.0,86.0,79.0,NaN,NaN,76.0
김피디,90,94.0,91.0,81.0,77.0,88.0,NaN,79.0,NaN,77.0,79.0
SceneJY,94,92.0,88.0,83.0,87.0,85.0,NaN,73.0,NaN,77.0,71.0
민재,93,86.0,80.0,88.0,83.0,NaN,64.0,NaN,89.0,88.0,81.0
영화삶을사는 남자,92,92.0,91.0,83.0,80.0,87.0,NaN,86.0,NaN,77.0,82.0
조성환,91,93.0,83.0,81.0,83.0,90.0,NaN,92.0,81.0,84.0,81.0
송형민,92,92.0,90.0,79.0,80.0,89.0,84.0,88.0,NaN,NaN,80.0
뜽-,93,83.0,91.0,NaN,NaN,84.0,84.0,88.0,NaN,NaN,84.0
KKK,93,90.0,92.0,84.0,85.0,83.0,82.0,85.0,75.0,NaN,78.0
빡숭,91,92.0,87.0,76.0,NaN,91.0,NaN,87.0,NaN,83.0,84.0
박성민,92,93.0,90.0,86.0,85.0,85.0,76.0,NaN,NaN,78.0,81.0
유둄,93,92.0,87.0,86.0,89.0,84.0,80.0,NaN,78.0,NaN,80.0
김준완,93,93.0,86.0,84.0,76.0,89.0,80.0,76.0,NaN,78.0,79.0
ㅇwㅇ,91,87.0,90.0,72.0,NaN,90.0,79.0,92.0,NaN,NaN,84.0
Seung Cheol Lee,91,94.0,88.0,84.0,84.0,87.0,NaN,78.0,NaN,80.0,79.0
주경빈,93,91.0,87.0,87.0,87.0,81.0,76.0,NaN,76.0,79.0,NaN
손현수,94,87.0,93.0,NaN,89.0,73.0,NaN,NaN,NaN,NaN,73.0
오전세시오십삼분,91,93.0,91.0,79.0,80.0,88.0,78.0,85.0,NaN,NaN,82.0
소양,93,93.0,89.0,81.0,82.0,86.0,83.0,NaN,NaN,76.0,78.0
윤지수,94,86.0,92.0,76.0,NaN,85.0,87.0,85.0,NaN,NaN,78.0
최영재,89,90.0,80.0,91.0,87.0,58.0,52.0,NaN,76.0,78.0,NaN
이한주,93,92.0,90.0,84.0,86.0,87.0,77.0,81.0,NaN,74.0,76.0
조약돌,94,89.0,91.0,83.0,77.0,83.0,86.0,87.0,NaN,NaN,81.0
녹챠라떼,92,91.0,90.0,81.0,NaN,90.0,80.0,83.0,NaN,83.0,85.0
Eyes Wide Shut,94,91.0,90.0,85.0,85.0,80.0,81.0,NaN,NaN,NaN,74.0
양미르,94,91.0,90.0,82.0,81.0,86.0,81.0,86.0,NaN,NaN,77.0
이은택,94,89.0,86.0,89.0,88.0,NaN,87.0,NaN,NaN,NaN,69.0
Termignoni,90,93.0,86.0,79.0,89.0,89.0,NaN,82.0,74.0,83.0,81.0
박혜영,94,88.0,89.0,83.0,83.0,75.0,86.0,NaN,NaN,NaN,NaN
시옷,92,93.0,89.0,79.0,84.0,88.0,81.0,82.0,NaN,80.0,77.0
이상상헌,94,91.0,87.0,84.0,80.0,87.0,84.0,77.0,NaN,79.0,80.0
김호년,92,93.0,88.0,81.0,76.0,89.0,81.0,83.0,NaN,83.0,82.0
바야흐로오렌지,94,90.0,78.0,85.0,88.0,78.0,81.0,82.0,82.0,83.0,NaN
조예담,94,88.0,91.0,81.0,85.0,86.0,83.0,76.0,NaN,NaN,78.0
건식,91,93.0,86.0,87.0,85.0,86.0,NaN,NaN,78.0,84.0,83.0
나쁜피,92,93.0,90.0,85.0,84.0,85.0,78.0,79.0,NaN,NaN,79.0
이동윤,95,90.0,89.0,83.0,84.0,82.0,82.0,75.0,NaN,NaN,73.0
차돌박,93,92.0,87.0,85.0,85.0,88.0,75.0,NaN,75.0,80.0,78.0
김승우,94,92.0,87.0,82.0,87.0,85.0,NaN,78.0,78.0,NaN,NaN
김용근,93,93.0,86.0,84.0,80.0,85.0,83.0,NaN,NaN,81.0,77.0
이단추,92,93.0,86.0,84.0,81.0,88.0,78.0,NaN,NaN,82.0,83.0
권효령,95,80.0,90.0,NaN,71.0,NaN,91.0,NaN,NaN,NaN,62.0
수수수술구,92,92.0,90.0,83.0,82.0,89.0,NaN,82.0,74.0,81.0,84.0
LOVE,93,90.0,90.0,NaN,74.0,88.0,85.0,89.0,NaN,NaN,84.0
Hyewon Jeong,94,89.0,91.0,81.0,82.0,83.0,83.0,75.0,NaN,NaN,NaN
서쪽구름,94,93.0,86.0,87.0,87.0,82.0,76.0,NaN,71.0,72.0,NaN
바리데기♧,92,92.0,87.0,84.0,81.0,89.0,NaN,87.0,NaN,83.0,80.0
영화 다각형,93,93.0,85.0,83.0,84.0,86.0,79.0,79.0,NaN,79.0,NaN
Lokku,92,93.0,86.0,84.0,79.0,87.0,NaN,85.0,NaN,82.0,NaN
GEOGRAPHIC,94,90.0,89.0,84.0,86.0,80.0,78.0,89.0,NaN,NaN,NaN
박남규,89,94.0,89.0,81.0,79.0,90.0,NaN,87.0,NaN,80.0,83.0
기범,92,93.0,84.0,86.0,82.0,88.0,NaN,79.0,NaN,80.0,79.0
문민지,92,92.0,91.0,78.0,78.0,89.0,76.0,88.0,NaN,NaN,82.0
쿼니,93,89.0,91.0,76.0,NaN,88.0,84.0,82.0,NaN,NaN,80.0
불꽃티라노,95,83.0,89.0,83.0,86.0,NaN,85.0,80.0,77.0,NaN,NaN
유림,93,92.0,89.0,85.0,84.0,87.0,78.0,78.0,NaN,79.0,78.0
명준고,95,87.0,86.0,85.0,87.0,79.0,80.0,NaN,76.0,75.0,NaN
Jerry,91,94.0,87.0,85.0,83.0,88.0,74.0,NaN,71.0,84.0,80.0
강도연,88,94.0,89.0,84.0,81.0,89.0,NaN,83.0,NaN,84.0,82.0
김형욱,90,93.0,89.0,81.0,81.0,90.0,NaN,85.0,NaN,80.0,83.0
김나연,94,90.0,88.0,80.0,NaN,88.0,80.0,84.0,NaN,81.0,77.0
이지언,93,87.0,90.0,NaN,71.0,88.0,84.0,85.0,NaN,NaN,84.0
차화임,93,89.0,89.0,89.0,87.0,71.0,82.0,NaN,NaN,NaN,72.0
체리밤,93,89.0,84.0,90.0,88.0,80.0,NaN,78.0,86.0,NaN,76.0
Jen Haley,92,90.0,86.0,NaN,NaN,91.0,84.0,89.0,73.0,NaN,85.0
돼지아저씨,90,94.0,89.0,83.0,78.0,88.0,NaN,85.0,NaN,82.0,83.0
ゼゼテテ,93,90.0,92.0,82.0,80.0,84.0,84.0,80.0,NaN,NaN,78.0
moon on the sky,92,92.0,91.0,81.0,NaN,89.0,82.0,85.0,NaN,77.0,83.0
서용준,89,94.0,89.0,81.0,80.0,89.0,NaN,79.0,NaN,82.0,80.0
권준희,94,91.0,84.0,86.0,86.0,86.0,80.0,NaN,76.0,78.0,78.0
임학선,93,92.0,92.0,83.0,84.0,85.0,82.0,NaN,NaN,75.0,78.0
꽃고래,94,88.0,90.0,81.0,81.0,83.0,87.0,84.0,NaN,NaN,78.0
박성호,94,92.0,89.0,81.0,87.0,81.0,77.0,NaN,NaN,NaN,65.0
백수현,92,92.0,91.0,82.0,84.0,86.0,71.0,70.0,NaN,80.0,74.0
이강효,93,92.0,87.0,84.0,86.0,87.0,NaN,87.0,74.0,77.0,79.0
신지원,90,94.0,84.0,79.0,NaN,90.0,NaN,86.0,NaN,84.0,84.0
김서현,94,89.0,87.0,80.0,82.0,79.0,86.0,80.0,NaN,76.0,78.0
Huirun,92,92.0,90.0,77.0,NaN,88.0,NaN,86.0,NaN,80.0,79.0
나준엽,91,94.0,80.0,86.0,88.0,85.0,69.0,NaN,73.0,81.0,70.0
Kate and David,93,90.0,92.0,77.0,83.0,87.0,81.0,80.0,NaN,NaN,80.0
직한,92,91.0,88.0,81.0,81.0,88.0,NaN,93.0,NaN,NaN,80.0
신유성,90,94.0,89.0,82.0,77.0,90.0,NaN,83.0,NaN,80.0,85.0
김우니,93,86.0,90.0,88.0,81.0,87.0,NaN,87.0,82.0,NaN,83.0
박인수,92,93.0,86.0,83.0,89.0,87.0,NaN,NaN,73.0,81.0,75.0
히히,93,83.0,90.0,NaN,NaN,87.0,85.0,89.0,NaN,NaN,85.0
환희님,92,91.0,90.0,82.0,NaN,89.0,84.0,85.0,NaN,79.0,80.0
충비,91,94.0,88.0,83.0,81.0,87.0,78.0,80.0,NaN,77.0,81.0
루니 마라,92,93.0,88.0,87.0,85.0,85.0,80.0,81.0,NaN,80.0,78.0
박서하,93,92.0,91.0,80.0,86.0,86.0,76.0,79.0,NaN,75.0,76.0
기매진,93,91.0,88.0,86.0,86.0,86.0,78.0,NaN,78.0,79.0,NaN
한상욱,92,94.0,88.0,83.0,88.0,76.0,81.0,NaN,NaN,69.0,NaN
Hun,94,91.0,87.0,86.0,86.0,83.0,79.0,NaN,NaN,77.0,78.0
조윤제,93,92.0,88.0,86.0,81.0,86.0,76.0,81.0,NaN,79.0,NaN
천유상,94,90.0,89.0,81.0,82.0,85.0,87.0,NaN,NaN,78.0,77.0
이감자,93,92.0,88.0,85.0,88.0,83.0,77.0,NaN,70.0,77.0,72.0
RagingBull,93,93.0,91.0,85.0,84.0,82.0,79.0,NaN,NaN,70.0,74.0
이학래,92,92.0,88.0,83.0,79.0,89.0,NaN,84.0,NaN,80.0,83.0
정수빈,94,87.0,92.0,81.0,82.0,80.0,88.0,79.0,NaN,NaN,77.0
알띵,92,92.0,90.0,77.0,87.0,85.0,NaN,83.0,NaN,80.0,78.0
김지원,93,92.0,90.0,76.0,81.0,87.0,NaN,78.0,NaN,76.0,77.0
snowfrolic,93,93.0,87.0,84.0,84.0,86.0,74.0,83.0,NaN,78.0,76.0
김수한무거북이와두루미삼천갑자동방삭,94,90.0,91.0,81.0,81.0,86.0,85.0,NaN,NaN,NaN,77.0
hsoul,94,90.0,88.0,83.0,89.0,80.0,81.0,83.0,NaN,71.0,NaN
김정수,91,95.0,72.0,78.0,76.0,88.0,NaN,NaN,NaN,82.0,75.0
호식이두마리치킨,93,89.0,86.0,87.0,89.0,79.0,NaN,78.0,80.0,71.0,NaN
윤재영,95,84.0,87.0,86.0,86.0,71.0,84.0,NaN,78.0,NaN,NaN
쏘울K,93,93.0,90.0,80.0,81.0,86.0,80.0,74.0,NaN,77.0,80.0
arc,92,90.0,92.0,75.0,NaN,87.0,82.0,85.0,NaN,NaN,85.0
보우,94,87.0,89.0,78.0,81.0,86.0,87.0,86.0,NaN,NaN,81.0
세롱,94,86.0,91.0,NaN,80.0,85.0,88.0,79.0,NaN,NaN,72.0
김햄인간,91,94.0,84.0,88.0,88.0,84.0,NaN,NaN,72.0,76.0,71.0
최원석,85,92.0,86.0,67.0,NaN,92.0,NaN,90.0,NaN,85.0,83.0
뿔뺭이,91,93.0,89.0,83.0,83.0,89.0,75.0,79.0,NaN,80.0,81.0
칸칸,94,90.0,91.0,86.0,84.0,81.0,86.0,79.0,NaN,NaN,NaN
Not Normal,90,93.0,82.0,78.0,85.0,91.0,NaN,87.0,NaN,81.0,84.0
DH_,89,94.0,87.0,87.0,87.0,86.0,NaN,NaN,77.0,85.0,79.0
생각이얕지만굉장히철학적인척하는사람,94,88.0,90.0,79.0,83.0,81.0,87.0,74.0,NaN,NaN,75.0
올레,93,93.0,90.0,83.0,85.0,85.0,81.0,NaN,NaN,76.0,75.0
소문 듣고왔습니다,89,92.0,84.0,67.0,75.0,92.0,NaN,89.0,NaN,81.0,86.0
김태서,95,84.0,89.0,NaN,75.0,78.0,80.0,90.0,NaN,NaN,NaN
Violetest,91,93.0,91.0,85.0,86.0,82.0,NaN,78.0,NaN,75.0,NaN
김민정,93,92.0,88.0,81.0,NaN,88.0,78.0,79.0,NaN,81.0,79.0
홍세훈,94,92.0,87.0,84.0,84.0,85.0,81.0,NaN,72.0,80.0,72.0
미상,93,93.0,85.0,87.0,86.0,85.0,74.0,NaN,77.0,82.0,75.0
지혁,92,93.0,88.0,82.0,82.0,89.0,79.0,84.0,NaN,82.0,77.0
뚜루,94,87.0,91.0,82.0,80.0,84.0,85.0,82.0,NaN,NaN,76.0
최원준,94,91.0,89.0,82.0,83.0,85.0,81.0,76.0,NaN,NaN,76.0
은서,94,89.0,92.0,78.0,78.0,87.0,83.0,82.0,NaN,NaN,77.0
박범준,92,93.0,86.0,79.0,84.0,89.0,73.0,82.0,NaN,80.0,80.0
yOuJAEHyuP,94,90.0,91.0,85.0,85.0,80.0,81.0,76.0,NaN,NaN,72.0
킬링타임,93,92.0,89.0,85.0,83.0,86.0,77.0,85.0,NaN,77.0,NaN
영화보는늘,92,93.0,85.0,86.0,85.0,89.0,NaN,74.0,77.0,83.0,82.0
가이바시,93,91.0,91.0,78.0,82.0,88.0,78.0,79.0,NaN,78.0,80.0
김상범,93,92.0,91.0,81.0,83.0,82.0,85.0,NaN,NaN,NaN,70.0
김도안,93,91.0,86.0,85.0,85.0,86.0,83.0,86.0,NaN,79.0,84.0
쯔욧,89,92.0,88.0,90.0,82.0,81.0,NaN,NaN,74.0,75.0,79.0
눈사람,94,85.0,83.0,90.0,82.0,85.0,NaN,78.0,83.0,78.0,NaN
국수누나,94,85.0,90.0,84.0,82.0,80.0,86.0,79.0,NaN,NaN,NaN
명준,92,92.0,88.0,86.0,83.0,87.0,NaN,85.0,NaN,82.0,79.0
여인수,90,94.0,82.0,82.0,84.0,90.0,NaN,91.0,71.0,82.0,83.0
촤락,92,91.0,90.0,NaN,80.0,89.0,NaN,86.0,NaN,81.0,76.0
박상혁,91,91.0,85.0,74.0,86.0,91.0,NaN,92.0,NaN,76.0,85.0
예매완료,93,92.0,89.0,87.0,86.0,82.0,78.0,NaN,73.0,NaN,73.0
김민서,87,94.0,86.0,84.0,77.0,90.0,NaN,81.0,NaN,85.0,81.0
슬쩍,93,89.0,88.0,87.0,86.0,84.0,79.0,91.0,81.0,NaN,75.0
KB24,94,92.0,90.0,82.0,88.0,82.0,80.0,NaN,NaN,70.0,71.0
자드낌,93,91.0,90.0,83.0,86.0,86.0,79.0,78.0,NaN,75.0,76.0
예림이,92,93.0,91.0,83.0,83.0,86.0,NaN,77.0,NaN,80.0,80.0
안모광,92,93.0,87.0,87.0,87.0,85.0,NaN,NaN,73.0,82.0,79.0
성인,94,91.0,88.0,82.0,85.0,81.0,82.0,NaN,NaN,71.0,72.0
단짠단짠,91,93.0,90.0,79.0,82.0,89.0,80.0,73.0,NaN,80.0,76.0
김솔직,92,92.0,88.0,86.0,88.0,85.0,NaN,77.0,84.0,80.0,NaN
SjMoon,89,94.0,87.0,85.0,79.0,89.0,NaN,85.0,NaN,83.0,84.0
배석준,95,88.0,76.0,77.0,90.0,NaN,88.0,NaN,78.0,NaN,NaN
유니 Yunique,92,92.0,90.0,83.0,83.0,88.0,78.0,84.0,NaN,77.0,80.0
jyjea,92,93.0,88.0,83.0,84.0,87.0,77.0,80.0,NaN,77.0,78.0
이도현,95,84.0,87.0,81.0,84.0,79.0,87.0,75.0,NaN,NaN,NaN
독버섯,94,90.0,91.0,81.0,85.0,79.0,82.0,69.0,69.0,NaN,NaN
조우현,93,93.0,86.0,86.0,88.0,84.0,70.0,NaN,73.0,77.0,69.0
적야,90,93.0,88.0,89.0,85.0,85.0,NaN,79.0,77.0,78.0,NaN
Smile_Boy,92,94.0,82.0,78.0,85.0,89.0,73.0,NaN,NaN,80.0,80.0
정희승,94,90.0,88.0,83.0,86.0,85.0,81.0,NaN,NaN,81.0,NaN
박희,88,94.0,85.0,82.0,79.0,89.0,NaN,80.0,NaN,84.0,81.0
한승엽,92,93.0,87.0,86.0,88.0,83.0,77.0,NaN,70.0,70.0,NaN
승환,94,91.0,90.0,84.0,84.0,85.0,80.0,80.0,NaN,77.0,76.0
RHD,94,90.0,88.0,85.0,84.0,86.0,85.0,83.0,NaN,NaN,80.0
movie_cherry,91,81.0,90.0,76.0,73.0,88.0,NaN,93.0,NaN,NaN,83.0
Abaxial,86,95.0,80.0,80.0,77.0,90.0,70.0,85.0,NaN,84.0,75.0
윤주영,94,91.0,86.0,78.0,NaN,89.0,81.0,85.0,NaN,82.0,79.0
토깽,92,89.0,90.0,81.0,NaN,90.0,80.0,90.0,NaN,NaN,83.0
현수철,91,93.0,87.0,88.0,84.0,88.0,NaN,NaN,75.0,84.0,81.0
오정원,93,92.0,86.0,85.0,88.0,87.0,NaN,76.0,79.0,78.0,78.0
